time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-19T01:30:56.908Z,62.1153,-150.7709,66.7,1.6,ml,,,,0.29,ak,ak020dgl8o62,2020-10-19T01:36:28.979Z,"35 km ENE of Skwentna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-19T01:30:29.130Z,19.3896675109863,-155.274337768555,1.73000001907349,1.83,ml,28,90,,0.219999999,hv,hv72186911,2020-10-19T01:35:59.860Z,"7 km SW of Volcano, Hawaii",earthquake,0.29,0.230000004,0.32,12,automatic,hv,hv
2020-10-19T01:29:08.250Z,35.907,-117.6976667,2.08,0.56,ml,6,100,0.05602,0.15,ci,ci39667592,2020-10-19T01:32:34.982Z,"19km E of Little Lake, CA",earthquake,0.34,0.88,0.137,6,automatic,ci,ci
2020-10-19T01:26:42.490Z,17.9295,-67.029,5,2.48,md,13,243,0.0427,0.08,pr,pr2020293000,2020-10-19T02:00:01.419Z,"5 km SSE of La Parguera, Puerto Rico",earthquake,0.61,0.3,0.13,9,reviewed,pr,pr
2020-10-19T01:22:52.310Z,-21.9286,-66.2652,256.97,4,mb,,53,2.042,0.57,us,us6000c9a3,2020-10-19T02:32:52.040Z,"71 km WNW of Villazón, Bolivia",earthquake,8.7,19.3,0.365,2,reviewed,us,us
2020-10-19T01:15:45.496Z,61.933,-150.8251,63.9,1.6,ml,,,,0.4,ak,ak020dgl5fjt,2020-10-19T01:34:48.583Z,"30 km ESE of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-19T01:09:06.774Z,57.4756,-154.9246,50.3,1.7,ml,,,,0.29,ak,ak020dgl429k,2020-10-19T01:13:35.820Z,"29 km WSW of Karluk, Alaska",earthquake,,2.4,,,automatic,ak,ak
2020-10-19T00:33:18.810Z,38.8250008,-122.7876663,0.33,0.75,md,14,52,0.01293,0.01,nc,nc73472441,2020-10-19T01:21:07.837Z,"6km W of Cobb, CA",earthquake,0.2,0.44,0.01,3,automatic,nc,nc
2020-10-19T00:30:31.370Z,33.1818333,-115.8671667,5.71,1.19,ml,32,63,0.07505,0.25,ci,ci39667560,2020-10-19T00:34:17.201Z,"15km SSE of Salton City, CA",earthquake,0.4,1.13,0.131,25,automatic,ci,ci
2020-10-19T00:27:31.500Z,34.0083333,-116.753,18.63,1.87,ml,64,31,0.05278,0.21,ci,ci39667552,2020-10-19T00:38:34.200Z,"11km NNE of Cabazon, CA",earthquake,0.23,0.44,0.144,27,automatic,ci,ci
2020-10-19T00:25:14.110Z,36.6847,-116.2603,0,0.3,ml,8,158.6,0.056,0.35,nn,nn00779299,2020-10-19T01:36:11.041Z,"50 km ESE of Beatty, Nevada",earthquake,,11.6,,,automatic,nn,nn
2020-10-19T00:22:56.410Z,36.6708,-116.2843,10.3,1,ml,17,78.85,0.054,0.14,nn,nn00779297,2020-10-19T00:26:12.194Z,"49 km ESE of Beatty, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-10-19T00:17:21.910Z,35.6723333,-117.45,3.47,0.72,ml,10,153,0.1868,0.16,ci,ci39667528,2020-10-19T00:21:09.823Z,"11km SSW of Searles Valley, CA",earthquake,0.57,1.48,0.174,8,automatic,ci,ci
2020-10-19T00:12:57.220Z,19.4136657714844,-155.289840698242,-0.340000003576279,2.41,ml,30,44,,0.230000004,hv,hv72186841,2020-10-19T00:18:28.580Z,"6 km WSW of Volcano, Hawaii",earthquake,0.18,0.209999993,0.45,19,automatic,hv,hv
2020-10-19T00:00:44.130Z,38.193,-117.9373,6.5,1.1,ml,12,71.56,0.023,0.01,nn,nn00779296,2020-10-19T00:23:51.689Z,"26 km SE of Mina, Nevada",earthquake,,2.9,,,automatic,nn,nn
2020-10-18T23:50:31.090Z,48.7056666666667,-123.279166666667,16.47,2.42,ml,30,131,0.1253,0.18,uw,uw61684227,2020-10-19T00:09:34.352Z,"11 km ENE of North Saanich, Canada",earthquake,0.39,0.58,0.150573506199572,19,reviewed,uw,uw
2020-10-18T23:47:40.579Z,61.6536,-150.334,46.1,1.8,ml,,,,0.69,ak,ak020dfawgvg,2020-10-18T23:51:56.845Z,"15 km NE of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-10-18T23:46:36.380Z,33.5978333,-116.8076667,5.02,0.28,ml,19,80,0.0366,0.1,ci,ci39667520,2020-10-19T01:37:03.083Z,"13km WNW of Anza, CA",earthquake,0.24,0.41,0.195,5,reviewed,ci,ci
2020-10-18T23:46:08.766Z,57.425,-155.0226,0,2.8,ml,,,,1.11,ak,ak020dfaw6qy,2020-10-19T00:19:03.040Z,"37 km WSW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-18T23:45:52.930Z,19.1240005493164,-155.446502685547,30.9599990844727,2.48,ml,44,175,,0.200000003,hv,hv72186816,2020-10-18T23:51:23.490Z,"9 km SSE of Pāhala, Hawaii",earthquake,0.69,1.10000002,0.15,3,automatic,hv,hv
2020-10-18T23:42:55.320Z,19.158166885376,-155.412826538086,32.8600006103516,2.06999993,md,19,170,,0.319999993,hv,hv72186811,2020-10-18T23:46:02.590Z,"8 km SE of Pāhala, Hawaii",earthquake,1.26,3.86999989,1.02999997,3,automatic,hv,hv
2020-10-18T23:36:52.820Z,35.616,-117.582,9.31,0.62,ml,8,173,0.102,0.08,ci,ci39667512,2020-10-18T23:40:28.151Z,"8km E of Ridgecrest, CA",earthquake,0.44,1.49,0.11,8,automatic,ci,ci
2020-10-18T23:31:11.220Z,17.8836,-66.8286,14,2.6,md,16,214,0.1046,0.22,pr,pr2020292012,2020-10-18T23:53:50.671Z,"12 km S of Indios, Puerto Rico",earthquake,0.76,0.87,0.17,8,reviewed,pr,pr
2020-10-18T23:13:56.650Z,35.8833333,-117.6201667,5.38,0.44,ml,7,133,0.05436,0.07,ci,ci39667504,2020-10-18T23:17:41.130Z,"23km WNW of Searles Valley, CA",earthquake,0.35,0.8,0.062,5,automatic,ci,ci
2020-10-18T23:05:57.455Z,62.8441,-149.6335,69.6,1.5,ml,,,,0.83,ak,ak020dfani3l,2020-10-18T23:50:16.234Z,"50 km NNE of Chase, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-10-18T23:03:49.701Z,64.9813,-147.4636,0,1,ml,,,,0.58,ak,ak020dfan233,2020-10-18T23:06:31.437Z,"7 km ENE of Fox, Alaska",earthquake,,52.6,,,automatic,ak,ak
2020-10-18T22:59:10.230Z,19.4025001525879,-155.259170532227,1.13999998569489,1.96,ml,22,61,,0.25,hv,hv72186781,2020-10-18T23:04:41.320Z,"5 km SSW of Volcano, Hawaii",earthquake,0.29,0.300000012,0.23,13,automatic,hv,hv
2020-10-18T22:58:37.010Z,19.3991661071777,-155.261337280273,1.25,2,ml,19,47,,0.180000007,hv,hv72186776,2020-10-18T23:04:07.890Z,"5 km SSW of Volcano, Hawaii",earthquake,0.29,0.319999993,0.26,13,automatic,hv,hv
2020-10-18T22:52:19.350Z,35.6498333,-117.4965,1.66,1.33,ml,14,104,0.1646,0.16,ci,ci39667496,2020-10-18T22:55:57.412Z,"16km SSW of Searles Valley, CA",earthquake,0.37,0.94,0.214,18,automatic,ci,ci
2020-10-18T22:48:50.478Z,-3.3934,100.262,10,5.1,mb,,99,2.854,0.98,us,us6000c99g,2020-10-18T23:09:23.040Z,"193 km SW of Sungai Penuh, Indonesia",earthquake,7.5,1.8,0.072,62,reviewed,us,us
2020-10-18T22:47:53.460Z,36.24830246,-98.42371368,2.025279284,2.66,ml,76,60.8270874,0.242243588,0.6265920572,ok,ok2020unkn,2020-10-19T02:24:18.871Z,"Oklahoma",earthquake,1.539447534,1.333531114,,57,automatic,ok,ok
2020-10-18T22:45:41.050Z,19.4020004272461,-155.266006469727,0.180000007152557,1.84,ml,19,40,,0.0700000003,hv,hv72186766,2020-10-18T22:51:41.180Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.200000003,0.3,7,automatic,hv,hv
2020-10-18T22:44:58.850Z,17.884,-66.8476,14,2.59,md,17,240,0.0964,0.18,pr,pr2020292011,2020-10-18T23:07:42.328Z,"11 km SSE of Maria Antonia, Puerto Rico",earthquake,0.61,0.83,0.14,6,reviewed,pr,pr
2020-10-18T22:41:13.460Z,35.6706667,-117.5316667,12.13,0.7,ml,11,131,0.1544,0.2,ci,ci39667488,2020-10-18T22:44:46.922Z,"14km ENE of Ridgecrest, CA",earthquake,0.63,1.64,0.191,8,automatic,ci,ci
2020-10-18T22:34:18.250Z,38.776165,-122.7171631,1.41,0.94,md,10,97,0.01575,0.05,nc,nc73472416,2020-10-18T23:08:04.035Z,"2km W of Anderson Springs, CA",earthquake,0.28,0.6,0.09,5,automatic,nc,nc
2020-10-18T22:32:44.020Z,38.8066673,-122.8249969,1.88,0.56,md,8,90,0.003937,0.03,nc,nc73472411,2020-10-18T22:57:06.970Z,"7km WNW of The Geysers, CA",earthquake,0.44,1.02,,1,automatic,nc,nc
2020-10-18T22:06:08.200Z,37.636,-119.0433333,-2.73,0.35,md,7,107,0.01322,0.05,nc,nc73472406,2020-10-18T23:36:04.208Z,"6km W of Mammoth Lakes, CA",earthquake,0.18,31.61,0.241,5,reviewed,nc,nc
2020-10-18T21:59:55.810Z,38.8206673,-122.7888336,0.96,0.4,md,11,70,0.009759,0.05,nc,nc73472396,2020-10-18T22:45:06.903Z,"6km NNW of The Geysers, CA",earthquake,0.32,0.75,0.15,2,automatic,nc,nc
2020-10-18T21:31:55.440Z,36.3278333,-118.0656667,-0.39,1.55,ml,19,97,0.1124,0.15,ci,ci39667456,2020-10-18T21:35:51.470Z,"8km NW of Olancha, CA",earthquake,0.35,1.13,0.144,20,automatic,ci,ci
2020-10-18T21:29:11.760Z,38.8170013,-122.7649994,1.61,1.3,md,25,60,0.01281,0.05,nc,nc73472386,2020-10-18T22:02:03.661Z,"4km W of Cobb, CA",earthquake,0.21,0.38,0.12,7,automatic,nc,nc
2020-10-18T21:27:15.000Z,38.1607,-117.9685,3.7,1.2,ml,10,94.55,0.02,0.03,nn,nn00779291,2020-10-18T21:32:54.608Z,"28 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-10-18T21:20:07.300Z,38.1633,-117.8715,4.1,1.2,ml,12,68.59,0.013,0.05,nn,nn00779288,2020-10-18T21:28:15.173Z,"32 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-10-18T21:16:24.737Z,63.5707,-150.0423,139.1,1.6,ml,,,,0.44,ak,ak020df9ixtr,2020-10-18T22:07:45.336Z,"57 km WNW of Cantwell, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-10-18T21:06:39.215Z,62.5266,-151.8928,6.6,1.2,ml,,,,0.76,ak,ak020df9gt81,2020-10-18T21:20:19.518Z,"58 km W of Petersville, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-18T21:04:26.850Z,34.2078333,-117.5725,11.69,1.58,ml,52,47,0.0777,0.22,ci,ci39667448,2020-10-18T21:14:51.270Z,"9km SW of Lytle Creek, CA",earthquake,0.28,0.73,0.158,28,automatic,ci,ci
2020-10-18T21:03:10.900Z,37.649,-118.8888333,4.77,0.29,md,6,241,0.02545,0.04,nc,nc73472381,2020-10-18T22:47:04.913Z,"8km E of Mammoth Lakes, CA",earthquake,2.13,0.99,0.071,4,reviewed,nc,nc
2020-10-18T21:01:05.120Z,38.1533,-117.7502,16.6,0.6,ml,11,94.93,0.002,0.05,nn,nn00779286,2020-10-18T21:20:54.059Z,"40 km SE of Mina, Nevada",earthquake,,4.2,,,automatic,nn,nn
2020-10-18T20:53:18.270Z,38.1903,-117.7568,7.4,1.7,ml,26,91.96,0.035,0.1,nn,nn00779281,2020-10-18T21:02:59.404Z,"37 km SE of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-10-18T20:51:18.980Z,33.9978333,-116.8553333,15,0.83,ml,12,80,0.05427,0.2,ci,ci39667424,2020-10-18T20:55:01.424Z,"8km NNE of Banning, CA",earthquake,0.82,1.09,0.258,22,automatic,ci,ci
2020-10-18T20:44:49.070Z,19.4248332977295,-154.946502685547,0.860000014305115,1.76999998,md,28,201,,0.340000004,hv,hv72186641,2020-10-18T20:48:09.700Z,"5 km SSW of Leilani Estates, Hawaii",earthquake,0.98,0.670000017,1.24000001,7,automatic,hv,hv
2020-10-18T20:42:10.514Z,61.8099,-151.2077,66.9,1.2,ml,,,,0.44,ak,ak020df9316m,2020-10-18T20:50:56.378Z,"22 km SSE of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-10-18T20:36:13.490Z,37.6301667,-118.8881667,5.82,0.31,md,13,101,0.01238,0.06,nc,nc73472376,2020-10-18T22:11:00.776Z,"8km E of Mammoth Lakes, CA",earthquake,0.72,0.99,0.083,10,reviewed,nc,nc
2020-10-18T20:35:24.920Z,37.6336667,-118.8901667,2.01,0.04,md,5,226,0.01262,0.06,nc,nc73472371,2020-10-18T23:11:06.054Z,"8km E of Mammoth Lakes, CA",earthquake,2.3,31.61,0.189,4,reviewed,nc,nc
2020-10-18T20:30:56.720Z,37.6288333,-118.8796667,3.49,-0.2,md,10,106,0.01651,0.04,nc,nc73472366,2020-10-18T22:01:29.426Z,"9km E of Mammoth Lakes, CA",earthquake,0.53,0.48,0.115,8,reviewed,nc,nc
2020-10-18T20:26:53.187Z,63.2668,-151.1096,0,1.3,ml,,,,0.55,ak,ak020df8zp06,2020-10-18T20:45:35.454Z,"43 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-18T20:21:30.070Z,35.8998333,-117.4245,2,0.82,ml,12,99,0.115,0.07,ci,ci39667408,2020-10-18T20:25:06.826Z,"15km N of Searles Valley, CA",earthquake,0.21,0.44,0.148,10,automatic,ci,ci
2020-10-18T20:14:58.670Z,35.6613333,-117.4723333,1.66,0.62,ml,8,165,0.1847,0.1,ci,ci39667392,2020-10-18T20:18:43.015Z,"13km SSW of Searles Valley, CA",earthquake,0.63,2.03,0.105,8,automatic,ci,ci
2020-10-18T20:06:57.430Z,51.6013333333333,-178.430166666667,1.14,2.85,ml,23,182,,0.29,av,av91133111,2020-10-18T21:39:55.660Z,"127 km WSW of Adak, Alaska",earthquake,0.73,1.42,0.271629596778158,25,reviewed,av,av
2020-10-18T19:56:25.760Z,37.6243333,-118.8913333,3.8,0.39,md,13,114,0.009336,0.1,nc,nc73472361,2020-10-19T00:01:04.361Z,"8km E of Mammoth Lakes, CA",earthquake,0.65,31.61,0.278,13,reviewed,nc,nc
2020-10-18T19:55:21.010Z,37.6316667,-118.8905,5.43,0.66,md,17,93,0.0113,0.07,nc,nc73472356,2020-10-19T02:52:04.411Z,"8km E of Mammoth Lakes, CA",earthquake,0.37,0.58,0.305,14,reviewed,nc,nc
2020-10-18T19:51:16.640Z,35.3735,-118.4881667,2.23,1.4,ml,21,52,0.2171,0.2,ci,ci39667360,2020-10-18T19:58:36.920Z,"24km S of Bodfish, CA",earthquake,0.36,1.53,0.156,23,reviewed,ci,ci
2020-10-18T19:47:55.190Z,35.7545,-117.5275,7.59,0.5,ml,10,167,0.08351,0.1,ci,ci39667352,2020-10-18T19:51:30.849Z,"11km W of Searles Valley, CA",earthquake,0.45,0.83,0.092,8,automatic,ci,ci
2020-10-18T19:36:59.330Z,32.9166667,-116.3431667,3.79,1.69,ml,51,61,0.0505,0.23,ci,ci39667344,2020-10-18T19:47:25.290Z,"20km ENE of Pine Valley, CA",earthquake,0.24,0.69,0.153,27,automatic,ci,ci
2020-10-18T19:28:04.990Z,33.0476667,-115.5893333,9.99,1.23,ml,12,66,0.01126,0.27,ci,ci39667328,2020-10-18T19:31:32.731Z,"3km ENE of Westmorland, CA",earthquake,0.84,0.65,0.159,10,automatic,ci,ci
2020-10-18T19:11:10.930Z,35.628,-117.4278333,5.28,0.73,ml,20,95,0.04999,0.15,ci,ci39667312,2020-10-19T00:27:35.620Z,"16km S of Searles Valley, CA",earthquake,0.25,0.7,0.103,9,reviewed,ci,ci
2020-10-18T19:04:16.400Z,32.3945007,-115.2429962,6.83,3.34,ml,35,116,0.05807,0.34,ci,ci39667304,2020-10-18T20:51:16.040Z,"6km NW of Delta, B.C., MX",earthquake,0.62,1.29,0.293,23,reviewed,ci,ci
2020-10-18T19:03:15.300Z,37.6423333,-118.8816667,4.66,-0.15,md,9,153,0.01222,0.02,nc,nc73472341,2020-10-18T19:55:47.018Z,"9km E of Mammoth Lakes, CA",earthquake,0.58,0.73,0.035,9,reviewed,nc,nc
2020-10-18T18:51:37.730Z,33.8885,-116.2791667,6.62,1.03,ml,22,58,0.09537,0.18,ci,ci39667280,2020-10-18T18:55:17.986Z,"13km NE of Thousand Palms, CA",earthquake,0.26,0.79,0.155,29,automatic,ci,ci
2020-10-18T18:46:01.980Z,38.1792,-117.7878,6.1,2.1,ml,23,63.77,0.06,0.1,nn,nn00779279,2020-10-18T20:54:01.304Z,"36 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-10-18T18:45:56.100Z,48.3206666666667,-122.598,21.96,1.66,ml,19,46,0.03928,0.18,uw,uw61684082,2020-10-19T00:22:24.060Z,"4 km NE of Oak Harbor, Washington",earthquake,0.48,0.9,0.280309222375456,7,reviewed,uw,uw
2020-10-18T18:28:14.340Z,17.9605,-66.9381,12,2.47,md,15,201,0.0607,0.14,pr,pr2020292010,2020-10-18T18:52:00.585Z,"3 km WSW of Guánica, Puerto Rico",earthquake,0.65,0.31,0.09,6,reviewed,pr,pr
2020-10-18T18:25:19.530Z,35.8548333,-117.6606667,10.52,0.54,ml,7,97,0.06446,0.13,ci,ci39667272,2020-10-18T18:29:00.378Z,"24km ESE of Little Lake, CA",earthquake,0.45,0.75,0.079,6,automatic,ci,ci
2020-10-18T18:12:17.660Z,38.1482,-117.9373,10.4,0.9,ml,9,172.79,0.013,0.06,nn,nn00779276,2020-10-18T18:35:12.547Z,"30 km SSE of Mina, Nevada",earthquake,,6,,,automatic,nn,nn
2020-10-18T18:01:47.480Z,62.0618,-147.8867,29.7,1.3,ml,,,,0.86,ak,ak020df7nggq,2020-10-18T18:14:20.119Z,"30 km NNW of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-10-18T17:58:30.110Z,33.5263333,-117.0853333,11.61,0.71,ml,24,67,0.09893,0.23,ci,ci39667248,2020-10-18T20:01:05.753Z,"7km ENE of Temecula, CA",earthquake,0.34,0.86,0.098,18,reviewed,ci,ci
2020-10-18T17:56:27.910Z,17.8801,-66.833,16,2.39,md,12,241,0.1056,0.19,pr,pr2020292009,2020-10-18T18:17:00.690Z,"12 km SSE of Maria Antonia, Puerto Rico",earthquake,0.85,0.78,0.12,6,reviewed,pr,pr
2020-10-18T17:50:54.340Z,37.1325,-115.1648,7.7,1.3,ml,11,205.78,0.28,0.29,nn,nn00779274,2020-10-18T18:14:14.092Z,"25 km S of Alamo, Nevada",earthquake,,24,,,automatic,nn,nn
2020-10-18T17:46:33.070Z,38.1725,-117.887,11.8,1.6,ml,21,71.92,0.031,0.12,nn,nn00779271,2020-10-18T17:51:56.073Z,"31 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-10-18T17:44:14.110Z,35.9586667,-117.3856667,2.27,2.21,ml,28,51,0.1071,0.16,ci,ci39667240,2020-10-18T17:54:56.990Z,"21km N of Searles Valley, CA",earthquake,0.26,0.64,0.112,25,automatic,ci,ci
2020-10-18T17:26:10.230Z,35.916,-117.7346667,8.58,1.23,ml,24,43,0.07517,0.16,ci,ci39667232,2020-10-18T20:01:34.060Z,"16km E of Little Lake, CA",earthquake,0.24,0.58,0.255,20,reviewed,ci,ci
2020-10-18T17:20:23.590Z,38.1855,-117.8548,9,0.6,ml,10,112,0.03,0.05,nn,nn00779265,2020-10-18T17:27:32.774Z,"31 km SE of Mina, Nevada",earthquake,,6.8,,,automatic,nn,nn
2020-10-18T17:18:53.326Z,-25.0408,178.584,587.19,4.2,mb,,148,5.213,0.61,us,us6000c98b,2020-10-18T18:03:33.040Z,"south of the Fiji Islands",earthquake,13.1,11,0.113,22,reviewed,us,us
2020-10-18T17:16:31.190Z,33.1581667,-115.9681667,6.36,2.02,ml,60,38,0.1289,0.24,ci,ci39667224,2020-10-18T17:27:44.370Z,"15km E of Ocotillo Wells, CA",earthquake,0.26,1.76,0.147,27,automatic,ci,ci
2020-10-18T17:15:53.500Z,33.1606667,-115.9658333,5.34,1.17,ml,20,62,0.1279,0.24,ci,ci39667216,2020-10-18T17:19:35.919Z,"15km S of Salton City, CA",earthquake,0.4,1.45,0.142,24,automatic,ci,ci
2020-10-18T17:07:03.920Z,17.9181,-66.919,14,2.62,md,15,227,0.0695,0.13,pr,pr2020292008,2020-10-18T17:27:57.116Z,"6 km S of Guánica, Puerto Rico",earthquake,0.65,0.48,0.31,13,reviewed,pr,pr
2020-10-18T17:04:21.184Z,64.6481,-149.6968,19.1,1.1,ml,,,,1.11,ak,ak020df72lz8,2020-10-18T18:02:48.626Z,"28 km W of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-18T17:00:03.980Z,38.1803,-119.122,7,1.6,ml,10,213.6,0.304,0.17,nn,nn00779263,2020-10-18T17:22:33.641Z,"12 km SE of Bridgeport, California",earthquake,,16.8,,,automatic,nn,nn
2020-10-18T16:54:41.420Z,37.6375008,-118.8838348,5.88,1.19,md,17,98,0.0124,0.03,nc,nc73472301,2020-10-18T17:27:07.082Z,"8km E of Mammoth Lakes, CA",earthquake,0.55,0.75,0.16,16,automatic,nc,nc
2020-10-18T16:54:06.315Z,-27.2918,-70.9142,33.48,4.8,mb,,138,0.168,0.62,us,us6000c980,2020-10-18T21:32:13.243Z,"58 km W of Copiapó, Chile",earthquake,1.8,5.2,0.111,25,reviewed,us,us
2020-10-18T16:46:37.158Z,62.2563,-124.4044,3.59,4.3,mb,,58,1.068,0.36,us,us6000c97v,2020-10-18T18:44:57.040Z,"Northwest Territories, Canada",earthquake,6.2,4.7,0.05,114,reviewed,us,us
